Tamano del Vector;Mejor Tiempo (us);Peor Tiempo (us);Tiempo Medio (us)
1000;0.2;2.3;1.254
2000;0.2;23.4;3.658
3000;0.2;6.5;3.295
4000;0.2;8.9;4.525
5000;0.1;11.2;5.972
6000;0.1;30.5;7.685
7000;0.6;15.3;7.842
8000;0.3;34.9;9.382
9000;0.2;18.8;9.344
10000;0.3;21.1;9.819
